Rating,Review
5,this is by far the best spiderman or even marvel movie the amount of mood swings it had just kept you invested in the movie the entire time the fact that tobey and andrew came back and brought their old characters back to life is just amazing i honestly cant even think of a reason to dislike this movie in anyway i do want to talk about the end though that was the one of the saddest if not the saddest ending in the mcu endgame is a close 2nd when you think about it peter had only been dating mj for a good 23 days since it relays from ffh into nwh and how they both love each other but now have been turned back into strangers is heartbreaking also seeing ned walk past peter without saying hi or anything like that is soo sad i cant wait for this to come out on dvd ive already pre ordered it on movies anywhere
5,coming from someone who doesnt like the previous two mcu spiderman movies this is by far the best live action spiderman movie ever i went in to that cinema in hopes to see andrew and tobey also because the movie just look really cool but then when i left that cinema i found a new love for toms spiderman and also found me new respect for toms trilogy they literally gave him everything to just take it all away from him and now i see this trilogy as toms spidermans origin story without spoiling anything i will say this movie has given long time spiderman fans such as myself everything they wanted mcu spiderman to be that means no more iron boy jr this movie as a whole is very much fan service but its fan service done correctly its amazing writing not bad humour and the cgi is beautiful i also want to say that i now cant wait for more tom holland spiderman and i am really looking forward to the path they are taking him absolutely amazing 1010
5,marvel has outdone themselves this is the quintessential mcu film to date the layout and execution of the plot is phenomenal raw emotion returning actors of immeasurable talent the action visual effects and character development make this film so enjoyable i dare say that tom holland has definitely become the true spiderman within the storyline this film also offers such an incredible extension to past villains such as the remarkable alfred molinas doc ock the brilliant willem da foes green goblin the ecstatic no pun intended jamie foxxs electro thomas haden churchs sandman and rhys ifans lizard returning cast such as benedict cumberbatch zendaya jacob batalon and even spoiler alert the previous spidermen tobey maguire and andrew garfield themselves overall this is hands down the best mcu film to be released to date jon watts has created something unique that can only be experienced through the glimpse of the audience
5,saw this fdfs at 5am you beauty spiderman the best spiderman movie ever in this generation or in coming decade i must say you stay away from internet if you gonna watch this so many chilling moments that you will end up screaming yelling in happiness and you will keep wondering how can this be pulled up into one movie this opens so many timelines and possibilities for marvel and sony to create amazing stories damn fun emotional and what not so so many surprising elements you didnt even managed to think the whole cast deserves a bow for keeping tight lipped specially tom hollandyou have told lot of lies to keep the movie fresh jonwatts marvel studios sony pictures kevin feige million thank you is not enough for this christmas present this movie will end up as being the blockbuster movie of era surpassing avengers and avatar please for god sake dont spoil the surprises to your family and friends if you have watched see in theaters near you marvel spidermannowayhome alert if you open youtube for reviews you will end up seeing spoiler thumbnails spiderman
5,best in the spiderman line and it takes top spot in the mcu movies i love ragnarock black panther end game and my once favorite iron man but no way home is seamless from the opening flowing realistic physics used to the properly placed protagonistic tabloids aunt may and the acceptance of responsibility that brought a memorable and meaningful resolution that leaves you feeling gifted no way home never went too far one way nor ever left the thread of momentum ive seen iron man at least 5 times and i will certainly have no problem watching no way home even more high replay value
1,awful movie the plot sucked and had awful pacing humour and dialogue were subparlike the octopus joke and they couldnt think of anything better so they brought back some old characters which still didnt save this poorly written film one bad dialogue scene was when the 3 spidermen where making jokes about tobeys organic webs which was just awkward and humourless and to add to that tobey saying that my back joke and norman osborn repeating im something of a scientist myself just why the film could never decide whether its a comedy or a dark action movie
1,marvel really need new writersespecially in the comedic department because theyve released 4 bad movies this year and a tv show that messed up a timeline just like no way home did and theyve also ruined spidermans character by not properly developing him and just throwing him into the avengers drama they are cash grabbers and only adding him because he is popular and it will get the movie ticket sales up watch spectacular spiderman if you wanna see a better version of a teenger superhero no way home is one of the few movies that make me wish the villains had won and the reason is that the plot armour on spiderman was too strong like when geometry was somehow the answer to get out of the mirror dimension green goblin was right about his morality getting the better of him
1,this movie showed us someone that we didnt even know his name he was following mj and ned around it was just a brown pwetty pwetty nyc boy thye brought back mr gween elf tree ewectro octotron 3000 mr sand cheeks from spongebob my high school project that was a lizard but went wrong and killed everyone jjj wasnt played by jim kerry from sonic the hedgehog also who thinks that mj is attrative micheal jackson of course also ned didnt even make out with a gacha kid he wants to spend his witty litte time with the nyc play boy also why did mr magic hands not stop da litte spelly welly that nyc play boy made i really loved andrew garfielyyy really muchy e wuchy becausey he playe wellyed my favortite hara ter he playes the tere and tom hanks returned on a late night game show the death star showed up as spdiermam and then mr nyc play boe just bliped put of exitance i weally want to know whip this masked spideyboy who save me cat feam mr trae overall very basett movie
1,im not a fan of superturds i watched this film only to see how they would bring 3 spiderturds together i was not disappointed at all because i knew deep inside this movie would suck i give one star for creativity but in my opinion im tired of multiverses monsterverses marvel universes dc universes covid_19 universes etc
1,i didnt enjoy this movie and what dialogue there waswell it was terrible tom holland may be a good actor ive never watched anything hes in but the rest holy jumpin bat farts batman the story may have been interesting were it not for the fact that it tried too hard to be emotional when it wasnt needed and tried to hard to be lackadaisical when seriousness was needed spidey loses another loved onewaaa waaaa waaaaand the end where hes supposed to be noble and let mj and ned get on with there lives j jonah jameson was right spidey a liar
